"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","1","Mild coastal inclines and beaches in North-east Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","2","Dry lowland lichen fields in North-east Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","3","Mild coastal inclines and beaches in North-west Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","4","Subcoastal exposed mossy outcrops in North-west Antarctic Peninsula","No further information",40,"T6.3","Polar tundra and deserts","Polar tundra and deserts have continuous to sparse cover of cold-tolerant mosses, liverworts, lichens, grasses, low shrubs and other flowering plants. They occur primarily in the Arctic circle, but polar desert is found in dry coastal lowlands of Antarctica. Precipitation falls as snow, with seasonal snow cover limiting the growing season. Extreme cold temperatures and short growing seasons exclude trees, as well as vascular plants in the coldest and driest locations. Permafrost substrates accumulate peat through slow decomposition rates. Migratory birds feed in distant wetlands or open oceans, and contribute nutrients to the system through guano, as well as dispersing seeds and other organisms. Migratory or hibernating mammals include seals, and, in the north, polar bears, foxes and wolves.","https://global-ecosystems.org/explore/groups/T6.3","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","5","Glacial outwash plains in North-west Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","6","Dry lowland lichen fields in North-west Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","7","Meltwater-eroded flatlands in North-west Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","8","Xeric valley floors in North-west Antarctic Peninsula","No further information",33,"T5.4","Cool deserts and semi-deserts","Cool deserts and semi-deserts occur on cool temperate plains and plateaus in central Eurasia and temperate parts of the Americas from sea level up to 4,000 m. Strong winds and freezing temperatures prevail, with low annual precipitation falling as winter snow or sleet. Productivity is low on infertile sandy and clay soils, often with high salinity. Vegetation comprises a sparse cover of low grasses and dwarf shrubs, interspersed with bare patches, with some areas having only lichens and mosses or no vegetation at all. Fauna includes large nomadic herbivores including antelopes, wild horses and camels, which control composition of vegetation. Predators include raptors, snakes, bears, and cats.","https://global-ecosystems.org/explore/groups/T5.4","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","9","Meltwater-eroded flatlands in Central South Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
"2024/07/25 00:00:00",165,"unsw_antarc_eco_2024","raster","AntarcticaEcosystemInventory_IceFreeLands_v1_int","raster code","10","Mild coastal inclines and beaches in Central South Antarctic Peninsula","No further information",39,"T6.2","Polar/alpine cliffs, screes, outcrops and lava flows","Polar-alpine rocky outcrops occur in permanently ice-free areas of polar regions and high mountains. Productivity and biomass are limited by extreme cold, rocky substrate and strong winds. Algae, lichens, mosses and bacteria support a short and simple foodweb in the summer months, with cold-tolerant invertebrates such as tardigrades. Some rocky sites provide nesting sites for birds in summer. Substrate weathering and guano are major nutrient inputs. These systems are periodically disturbed as accumulated snow and ice collapses down steep slopes.","https://global-ecosystems.org/explore/groups/T6.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0165001"
