"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Canyon","Canyon in Delagoa Ecoregion (steep-walled valleys with V-shaped cros sections)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Coral Reefs","Coral Reefs in Delagoa Ecoregion (live reefs or algae)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Estuary","Estuaries & outflows in Delagoa Ecoregion (areas within 2.5km buffer from rivermouth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Microalgal Mats","Microalgal Mats in Delagoa Ecoregion (visible accumulations of microscopic algae in sandy sediments)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Rock","Rock in Delagoa Ecoregion (exposed hardbottom area with few corals)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Rubble","Rubble in Delagoa Ecoregion (loose, rough fragments of broken coral)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Seagrass","Seagrass in Delagoa Ecoregion","NA",120,"M1.1","Seagrass meadows","These shallow, subtidal systems are the only marine ecosystems with an abundance of flowering plants. They are typically found mostly on soft, sandy or muddy substrates around relatively sheltered coastlines. Extent is limited in the shallows by wave action and tidal exposure, and at depth by light availability. Productive ecosystems, their three-dimensional structure provides shelter for juvenile fish, invertebrates and epiphytic algae. Diverse organisms live in and around seagrass beds including many grazers, from tiny invertebrates to megafauna such as dugongs.","https://global-ecosystems.org/explore/groups/M1.1","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Lower Shelf","Lower Shelf waters in Delagoa Ecoregion (100-150m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Mid Shelf","Mid Shelf waters in Delagoa Ecoregion (40-100m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Shelf Edge","Shelf Edge waters in Delagoa Ecoregion (150 - 500m depth)","NA",143,"M3.1","Continental and island slopes","These lightless slopes of sand, mud and rocky outrops run down from the shallower shelf break to the very deep abyssal basins. Nutrients falling from upper ocean layers and delivered by currents from the shelf support diverse communities of microbial decomposers, detritivores like crabs and demersal fish, and their predators, but sessile animals are rare and algae are absent. Biomass is relatively low and peaks at mid-slope, diminishing with depth as food and temperature decrease and bathymetric pressure increases.","https://global-ecosystems.org/explore/groups/M3.1","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Shore (300m buffer)","Shore waters in Delagoa Ecoregion (300m buffer from shore)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Delagoa Upper Shelf","Upper Shelf waters in Delagoa Ecoregion (0-40m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Canyon","Canyon in East Africa Ecoregion (steep-walled valleys with V-shaped cross sections)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Coral Reefs","Coral Reefs in East Africa Ecoregion (live reefs or algae)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Estuary","Estuaries & outflows in East Africa Ecoregion (areas within 2.5km buffer from rivermouth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Microalgal Mats","Microalgal Mats in East Africa Ecoregion (visible accumulations of microscopic algae in sandy sediments)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Rock","Rock in East Africa Ecoregion (exposed hardbottom area with few corals)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Rubble","Rubble in East Africa Ecoregion (loose, rough fragments of broken coral)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Seagrass","Seagrass in East Africa Ecoregion","NA",120,"M1.1","Seagrass meadows","These shallow, subtidal systems are the only marine ecosystems with an abundance of flowering plants. They are typically found mostly on soft, sandy or muddy substrates around relatively sheltered coastlines. Extent is limited in the shallows by wave action and tidal exposure, and at depth by light availability. Productive ecosystems, their three-dimensional structure provides shelter for juvenile fish, invertebrates and epiphytic algae. Diverse organisms live in and around seagrass beds including many grazers, from tiny invertebrates to megafauna such as dugongs.","https://global-ecosystems.org/explore/groups/M1.1","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Lower Shelf","Lower Shelf waters in East Africa Ecoregion (100-150m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Mid Shelf","Mid Shelf waters in East Africa Ecoregion (40-100m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Shelf Edge","Shelf Edge waters in East Africa Ecoregion (150 - 500m depth)","NA",143,"M3.1","Continental and island slopes","These lightless slopes of sand, mud and rocky outrops run down from the shallower shelf break to the very deep abyssal basins. Nutrients falling from upper ocean layers and delivered by currents from the shelf support diverse communities of microbial decomposers, detritivores like crabs and demersal fish, and their predators, but sessile animals are rare and algae are absent. Biomass is relatively low and peaks at mid-slope, diminishing with depth as food and temperature decrease and bathymetric pressure increases.","https://global-ecosystems.org/explore/groups/M3.1","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Shore (300m buffer)","Shore waters in East Africa Ecoregion (300m buffer from shore)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","East Africa Upper Shelf","Upper Shelf waters in East Africa Ecoregion (0-40m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Mozambique Channel Canyon","Canyon in Mozambique Channel Ecoregion (steep-walled valleys with V-shaped cross sections)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Mozambique Channel Coral Reefs","Coral Reefs in Mozambique Channel Ecoregion (live reefs or algae)","NA",122,"M1.3","Photic coral reefs","These slow growing biogenic structures are formed by the calcium carbonate skeletons of certain coral species that depend on symbiotic relationships with algae. They occur in warm, shallow, low-nutrient waters and provide complex three-dimensional habitat for a highly diverse community across all trophic levels, from algae to sharks, along with other characteristic sessile organisms like coralline algae and sponges. Niche habitats produce specialist behaviours and diets, like the symbiotic relationship between clown fish and anemones. Storms and marine heat waves drive cycles of reef destruction and renewal.","https://global-ecosystems.org/explore/groups/M1.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Mozambique Channel Seamount","Seamount in Mozambique Channel Ecoregion (conical areas rising >1000m from seafloor)","NA",146,"M3.4","Seamounts, ridges and plateaus","These deep, lightless ecosystems are centred on major geomorphic features of deep ocean floors. These elevated features interrupt lateral ocean currents and generate upwelling of nutrients. This promotes productivity in surface waters, which returns to depths as detritus. The input of these resources, combined with varied rocky micohabitats, unlike the sand and mud around them, supports diverse communities of immobile filter feeders (e.g. sponges), mobile benthic organisms (e.g. molluscs and starfish), and large aggregations of fish, especially around seamounts.","https://global-ecosystems.org/explore/groups/M3.4","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Mozambique Channel Abyss","Abyssal waters in Mozambique Channel (>3500m depth)","NA",145,"M3.3","Abyssal plains","These ecosystems on the very deep seafloors (3000-6000m) of all oceans support a low biomass but high diversity of small invertebrates and microbes, along with larger crustaceans, demersal fish and echinoderms like starfish. Tracks and burrows of larger organisms in fine sediments that may be up to thousands of metres thick, structure habitat for smaller invertebrates. The absence of light, scarcity of food, and extreme hydrostatic pressures limit the density and biomass of organisms as well as the interactions among them. Inaccessible and little known, exploration of these ecosystems continue to reveal large numbers of species new to science.","https://global-ecosystems.org/explore/groups/M3.3","ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
"2024/08/24 00:00:00",183,"wcs_mozam_marine_2022","vector",NA,"Ecosys_EN","Mozambique Channel Lower Shelf","Lower Shelf waters in Mozambique Channel Ecoregion (100-150m depth)","NA",255,"NA","No Data","No Data",NA,"ValueToValue",,"Ben_Cresswell","Final",,NA,NA,2.1,NA,NA,"001","0183001"
