"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Aeolian Chenopod Shrublands","Aeolian Chenopod Shrublands","No further information",30,"T5.1","Semi-desert steppe","Semi-desert steppes on all continents are dominated by perennial shrubs, often with semi-fleshy or velvety foliage, and tussock grasses interspersed with bare ground. Low variable rainfall and extreme temperatures favour flora and fauna with drought and stress-tolerance adaptations, such as deep roots and nomadism. Growth and reproduction of shrubs and grasses is varies with rainfall, the cover of grass diminishing to near zero in extended droughts. Grass cover also depends on soil fertility and grazing animals, which may also limit shrub recruitment and growth. These steppes are among the most productive of desert ecosystems, with relatively abundant small and large herbivorous and seed-eating mammals supporting bird and mammal predators and scavengers.","https://global-ecosystems.org/explore/groups/T5.1","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Alpine Bogs and Fens","Alpine Bogs and Fens","No further information",75,"TF1.6","Boreal, temperate and montane peat bogs","Peat bogs in the boreal-subarctic and temperate areas of the world account for up to 40% of the world’s soil carbon. They are landscape sponges, with highly specialised plant life including shrubs, sedges and mosses equipped to grow in acidic, nutrient-poor, low-oxygen, waterlogged soils. Sphagnum moss and other peat-forming plants are foundational to these ecosystems. Insects are the dominant animal group, along with amphibians, reptiles, rodents and a few visiting birds.","https://global-ecosystems.org/explore/groups/TF1.6","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Alpine Fjaeldmarks","Alpine Fjaeldmarks","No further information",41,"T6.4","Temperate alpine grasslands and shrublands","Temperate alpine grasslands and shrublands occur above the treeline, on temperate and boreal mountains worldwide. Seasonal productivity is limited by cold and snow cover, often with strong winds. Mosses, liverworts, lichens, flowering plants and low shrubs generally form a continuous cover, except where strong winds and dry conditions limit vegetation to sparse lichens and dwarf shrubs. Most fauna is seasonally active during warmer summer months, with insects and vertebrates having adaptations to extreme cold, including hibernation. Many species have restricted distributions, with strong barriers to dispersal between mountains.","https://global-ecosystems.org/explore/groups/T6.4","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Alpine Heaths","Alpine Heaths","No further information",41,"T6.4","Temperate alpine grasslands and shrublands","Temperate alpine grasslands and shrublands occur above the treeline, on temperate and boreal mountains worldwide. Seasonal productivity is limited by cold and snow cover, often with strong winds. Mosses, liverworts, lichens, flowering plants and low shrubs generally form a continuous cover, except where strong winds and dry conditions limit vegetation to sparse lichens and dwarf shrubs. Most fauna is seasonally active during warmer summer months, with insects and vertebrates having adaptations to extreme cold, including hibernation. Many species have restricted distributions, with strong barriers to dispersal between mountains.","https://global-ecosystems.org/explore/groups/T6.4","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Alpine Herbfields","Alpine Herbfields","No further information",41,"T6.4","Temperate alpine grasslands and shrublands","Temperate alpine grasslands and shrublands occur above the treeline, on temperate and boreal mountains worldwide. Seasonal productivity is limited by cold and snow cover, often with strong winds. Mosses, liverworts, lichens, flowering plants and low shrubs generally form a continuous cover, except where strong winds and dry conditions limit vegetation to sparse lichens and dwarf shrubs. Most fauna is seasonally active during warmer summer months, with insects and vertebrates having adaptations to extreme cold, including hibernation. Many species have restricted distributions, with strong barriers to dispersal between mountains.","https://global-ecosystems.org/explore/groups/T6.4","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Brigalow Clay Plain Woodlands","Brigalow Clay Plain Woodlands","No further information",2,"T1.2","Tropical/Subtropical dry forests and thickets","Tropical-subtropical dry forests and thickets are characterised by fertile substrates and seasonally dry conditions (~1800 mm per year, with a period of 3 to 6 months receiving less than 100 mm per month) that drive markedly seasonal patterns of productivity. Tree-diversity is high, with a variable mixture of evergreen and drought-deciduous trees, with abundant vines, but fewer epiphytes, ferns, mosses, and forbs, limited by seasonal drought. Abundant leaf litter is decomposed by fungi and microbes within complex foodwebs dominated by vertebrates of all kinds.","https://global-ecosystems.org/explore/groups/T1.2","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Central Gorge Dry Sclerophyll Forests","Central Gorge Dry Sclerophyll Forests","No further information",12,"T2.6","Temperate pyric sclerophyll forests and woodlands","In fire-prone temperate regions, temperate pyric sclerophyll forests are characterised by an open canopy of hard-leaved trees with a shrub layer underneath, sometimes with grasses and forbs. Productivity is limited by seasonal drought, hot summers, and low nutrients in sandy and loamy soils. Some groups of plants, birds, reptiles, and invertebrates have high diversity and uniqueness, many with locally restricted distributions. Plants and animals are adapted for persistence through successive summer droughts and fires and, although sensitive to fire frequency and season, periodic disturbance by fire is critical to maintaining forest diversity.","https://global-ecosystems.org/explore/groups/T2.6","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Clarence Dry Sclerophyll Forests","Clarence Dry Sclerophyll Forests","No further information",12,"T2.6","Temperate pyric sclerophyll forests and woodlands","In fire-prone temperate regions, temperate pyric sclerophyll forests are characterised by an open canopy of hard-leaved trees with a shrub layer underneath, sometimes with grasses and forbs. Productivity is limited by seasonal drought, hot summers, and low nutrients in sandy and loamy soils. Some groups of plants, birds, reptiles, and invertebrates have high diversity and uniqueness, many with locally restricted distributions. Plants and animals are adapted for persistence through successive summer droughts and fires and, although sensitive to fire frequency and season, periodic disturbance by fire is critical to maintaining forest diversity.","https://global-ecosystems.org/explore/groups/T2.6","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Cleared","Cleared","No further information",255,"NA","No Data","No Data",NA,"ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
"2024/09/09 00:00:00",213,"nswgov_nsw_veg_2012","raster","NSWmap_v3_03_E_3848.tif","ClassName","Coastal Dune Dry Sclerophyll Forests","Coastal Dune Dry Sclerophyll Forests","No further information",12,"T2.6","Temperate pyric sclerophyll forests and woodlands","In fire-prone temperate regions, temperate pyric sclerophyll forests are characterised by an open canopy of hard-leaved trees with a shrub layer underneath, sometimes with grasses and forbs. Productivity is limited by seasonal drought, hot summers, and low nutrients in sandy and loamy soils. Some groups of plants, birds, reptiles, and invertebrates have high diversity and uniqueness, many with locally restricted distributions. Plants and animals are adapted for persistence through successive summer droughts and fires and, although sensitive to fire frequency and season, periodic disturbance by fire is critical to maintaining forest diversity.","https://global-ecosystems.org/explore/groups/T2.6","ValueToValue",,"David_Keith","final",,TRUE,"Naema_Gros-Dubois",2.1,NA,NA,"001","0213001"
