"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","3","Semi-natural grassland (other)","A transition category made up of grasslands which have been modified by artificial fertilisers, slurry, intensive grazing, herbicides or drainage, and consequently have a range of species which is less diverse and natural than unimproved grasslands.",255,"NA","No Data","No Data",NA,"ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","4","Juncus rushes","Grasslands dominanted by Juncus rushes",255,"NA","No Data","No Data",NA,"ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","5","Molinia grassland","Tussock grasslands dominanted by Molinea.",255,"NA","No Data","No Data",NA,"ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","9","Young plantations/Felled/Coppice","Obviously planted woodland of any age",48,"T7.3","Plantations","Plantations are generally long-rotation perennial woody crops established and maintained for a variety of food and materials. The harvested products include wood, various fruits, tea, coffee, palm oil and other food additives, materials such as rubber, ornamental materials (cut flowers), etc. The vegetation of most plantations comprises at least two vertical strata (the managed woody species and a ruderal ground layer), although mixed plantings may be more complex and host a relatively diverse flora and fauna if managed to promote habitat features. Fertilisers and water subsidies are applied, and harvesting occurs at intervals depending on the crop.","https://global-ecosystems.org/explore/groups/T7.3","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","10","Woodland and scrub (other)","Vegetation dominated by trees more than 5m high when mature, forming a distinct, although sometimes open, canopy.",8,"T2.2","Deciduous temperate forests","At cool temperate latitudes in the Northern hemisphere, fertile soils and high precipitation support forests dominated by broadleaf deciduous trees, although evergreen needleleaf trees may account for up to one-third of the canopy. Cold snow-prone winters punctuate a limited but highly productive growing season. Fungi and bacteria play vital roles in decomposition of the seasonal leaf fall on the forest floor, with insects and browsing herbivores important in carbon and nutrient cycling. Herbivores such as deer and hares are prey to feline, canine and avian predators. Winter dormancy, hibernation and migration are key strategies enabling survival of plants and animals.","https://global-ecosystems.org/explore/groups/T2.2","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","12","Broadleaved woodland","Vegetation dominated by trees more than 5m high when mature, forming a distinct, although sometimes open, canopy.  broadleaved woodland: 10% or less conifer in the canopy",8,"T2.2","Deciduous temperate forests","At cool temperate latitudes in the Northern hemisphere, fertile soils and high precipitation support forests dominated by broadleaf deciduous trees, although evergreen needleleaf trees may account for up to one-third of the canopy. Cold snow-prone winters punctuate a limited but highly productive growing season. Fungi and bacteria play vital roles in decomposition of the seasonal leaf fall on the forest floor, with insects and browsing herbivores important in carbon and nutrient cycling. Herbivores such as deer and hares are prey to feline, canine and avian predators. Winter dormancy, hibernation and migration are key strategies enabling survival of plants and animals.","https://global-ecosystems.org/explore/groups/T2.2","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","16","Needleleaved woodland","Vegetation dominated by trees more than 5m high when mature, forming a distinct, although sometimes open, canopy.  coniferous woodland: 10% or less broadleaved in the canopy.",48,"T7.3","Plantations","Plantations are generally long-rotation perennial woody crops established and maintained for a variety of food and materials. The harvested products include wood, various fruits, tea, coffee, palm oil and other food additives, materials such as rubber, ornamental materials (cut flowers), etc. The vegetation of most plantations comprises at least two vertical strata (the managed woody species and a ruderal ground layer), although mixed plantings may be more complex and host a relatively diverse flora and fauna if managed to promote habitat features. Fertilisers and water subsidies are applied, and harvesting occurs at intervals depending on the crop.","https://global-ecosystems.org/explore/groups/T7.3","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","23","Ulex dominated scrub","Seral or climax vegetation dominated by locally native shrubs, usually less than 5 m tall, occasionally with a few scattered trees.  Dominated by Gorse (Ulex species).",255,"NA","No Data","No Data",NA,"ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","35","Acid grassland","Grassland in this category is often unenclosed, as on hill-grazing land, and occurs on a range of acid soils (pH less than 5.5). It is generally species-poor, and often grades into wet or dry dwarf shrub heath, although it must always have less than 25% dwarf shrub cover",50,"T7.5","Derived semi-natural pastures and old fields","These managed ecosystems are derived from a range of other ecosystems (mostly from T1 - T4, a few from T5) by the removal or modification of woody plant components. The remaining vegetation includes both local indigenous species and introduced species, providing habitat for a mixed indigenous and non-indigenous fauna. They are used mainly for livestock grazing, which is essential to maintaining the structure of the system. Unlike sown pastures, inputs of water and nutrients are limited. Although structurally simpler than the systems from which they were derived, they often harbour an appreciable diversity of native organisms.","https://global-ecosystems.org/explore/groups/T7.5","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
"2024/07/25 00:00:00",181,"aberuni_wales_eco_2024","raster","habitat_detailed_Wales_2020_cut.tif","raster code","38","Neutral grassland","Typically enclosed and usually more intensively managed than acid or calcareous grassland (except on roadside verges), this category encompasses a wide range of communities occurring on neutral soils (pH 5.5-7.0).",47,"T7.2","Sown pastures and fields","In these intensively managed agricultural systems, grasses and legumes are sown and cultivated, with regular inputs of nutrients and (sometimes) water, primary for the mostly commercial production of livestock or food (hay) for livestock. Sown pastures are structurally simple ecosystems with low-diversity and high-productivity. They are dominated by one or few selected plant species as primary food sources for one animal species (usually large mammalian herbivores). Management includes chemical or physical treatments to exclude competitors, predators, herbivores, or pathogens. They differ from less intensively managed rangeland (e.g. T5) and semi-natural grasslands (T7.5), where livestock graze in predominantly native ecosystems.","https://global-ecosystems.org/explore/groups/T7.2","ValueToValue",,"Richard_Lucas","final",,TRUE,"Naema_GrosDubois",2.09999999999989,NA,NA,"001","0181001"
