"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","0","NA","NA",0,"0","No Data","No Data",NA,"ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","1","Wohngebiet mit hoher Baudichte","Residential areas with high building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","2","Industrieflächen mit hoher Baudichte","Industrial areas with high building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","3","Gewerbeflächen und öffentliche Einrichtungen mit hoher Baudichte","Comm. areas and pub. inst. w. high building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","4","Wohngebiet mit niedriger Baudichte","Residential areas with low building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","5","Industrieflächen mit niedriger Baudichte","Industrial areas with low building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","6","Gewerbeflächen und öffentliche Einrichtungen mit niedriger Baudichte","Comm. areas and pub. inst. w. low building density",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","7","Straße","Roads",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","8","Schiene","Railroads",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","9","Hafen","Ports",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
"2024/07/22 00:00:00",152,"destatis_germ_eco_2021","raster","2018_dominant_esc","Raster code","10","Flughafen","Airports",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Destatis_ARIES_team","final",,TRUE,"Naema_GrosDubois",2.1,NA,"Title: Ecosystem Type (IUCN classification)
Description: Mapping of the terrestrial Ecosystem Types in Germany, according to IUCN GET classification, adapted to include additional classes that are not originally part of the global classification, but which were recognised as relevant in the German context. The table below shows the additional EFG identified during the crosswalk from the German national habitat classification to the IUCN GET. Results were produced using the [k.LAB](https://klab.integratedmodelling.org/technology/) by the [ARIES](https://aries.integratedmodelling.org/) team.
Authors: Marius Bellingen (Federal Statistical Office of Germany), Alessio Bulckaen (BC3), Simon Schürz (Federal Statistical Office of Germany)
Keywords: Ecosystem Functional Group, IUCN Global Ecosystem Typology
References: [IUCN Global Ecosystem Typology](https://global-ecosystems.org/)"
