"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement"
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P1","Tropical interior desert with sparse vegetation","Desert pampa in the interior of the regions of Arica and Parinacota, Tarapacá and Antofagasta, between 600 and 2,100 m altitude, ultrahyperarid mesotropical and hyperoceanic lower supratropical ultrahyperarid bioclimatic floors. Area that almost completely lacks plant life, except in some sectors with the presence of brackish underground water table where a halophilic scrub dominated by Tessaria absinthioides is observed. It is possible that there are more plant communities, but botanical knowledge about these areas is very poorly developed in Chile, so information on the floristic composition is not available.",34,"T5.5","Hyper-arid deserts","The most extreme of all desert ecosystems, hyper-arid deserts are limited by very dry and often windy conditions with high temperatures and sandy or stony soils. Dry periods may be prolonged for several years. Vegetation is characterised by very low densities of small drought-tolerant perennial plants known as xerophytes, very slow growing species with adaptations to drought such as extensive root systems and water storage tissues. Some of these plants may acquire much of their moisture from fogs. Ephemeral plants occur in some regions, but are less common than in other desert systems. Microbial biofilms are important decomposers. Drought tolerant reptiles and invertebrates are the main faunal groups, along with occasional nomadic mammals and birds, in simple foodwebs.","https://global-ecosystems.org/explore/groups/T5.5","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P2","Tropical coastal dunes of Tillandsia landbeckii - T. marconae","Inland areas close to the coast of the Arica and Parinacota and Tarapacá regions between 800 and 1,400 m, ultra-hyperarid hyperoceanic mesotropical bioclimatic floor. The tillandsiales described for the interior of Caldera (Atacama Region) are integrated as part of the variability of ecosystem 15 (interior tropical-Mediterranean desert scrub of Skytanthus acutus - Atriplex deserticola). It has been suggested that the dynamics of this type of vegetation is cyclical, beginning with an expansion of the plants during their growth in the direction of the incident fog. Growth is strongly controlled by the nutrient supply from the fog. As new tissue is generated, the older parts not exposed to the fog become senescent and eventually die, but they decompose very slowly, so that they persist for a long time until they are finally buried under the sand. Dating of buried remains has shown that the formations may be as old as 3,000 years.",34,"T5.5","Hyper-arid deserts","The most extreme of all desert ecosystems, hyper-arid deserts are limited by very dry and often windy conditions with high temperatures and sandy or stony soils. Dry periods may be prolonged for several years. Vegetation is characterised by very low densities of small drought-tolerant perennial plants known as xerophytes, very slow growing species with adaptations to drought such as extensive root systems and water storage tissues. Some of these plants may acquire much of their moisture from fogs. Ephemeral plants occur in some regions, but are less common than in other desert systems. Microbial biofilms are important decomposers. Drought tolerant reptiles and invertebrates are the main faunal groups, along with occasional nomadic mammals and birds, in simple foodwebs.","https://global-ecosystems.org/explore/groups/T5.5","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P3","Tropical coastal ephemeral forb vegetation of Nolana adansonii - N. lycioides","Low coastal zone in the south of the Tarapacá and Antofagasta regions, 0–400 m, upper thermotropical and lower mesotropical ultra-hyperarid hyperoceanic bioclimatic levels. Plants are observed only after intense rains associated with El Niño events, probably from seed banks generated during the previous rainy period. In Nolana jaffuelii, it has been shown that there are physical and physiological mechanisms that would allow seeds to remain dormant for long periods awaiting favorable conditions for germination.",34,"T5.5","Hyper-arid deserts","The most extreme of all desert ecosystems, hyper-arid deserts are limited by very dry and often windy conditions with high temperatures and sandy or stony soils. Dry periods may be prolonged for several years. Vegetation is characterised by very low densities of small drought-tolerant perennial plants known as xerophytes, very slow growing species with adaptations to drought such as extensive root systems and water storage tissues. Some of these plants may acquire much of their moisture from fogs. Ephemeral plants occur in some regions, but are less common than in other desert systems. Microbial biofilms are important decomposers. Drought tolerant reptiles and invertebrates are the main faunal groups, along with occasional nomadic mammals and birds, in simple foodwebs.","https://global-ecosystems.org/explore/groups/T5.5","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P4","Tropical interior desert scrub of Malesherbia auristipulata - Tarasa operculata","Large ravines in the desert pampas of the regions of Arica and Parinacota, Tarapacá and Antofagasta, 0–1,500 m, lower hyperoceanic ultra-hyperarid mesotropical bioclimatic zone. There is no known information about its natural dynamics. Most of the surfaces originally covered by this type of vegetation are now subject to agricultural use, which has ended up replacing practically all of the natural areas in the ravines.",34,"T5.5","Hyper-arid deserts","The most extreme of all desert ecosystems, hyper-arid deserts are limited by very dry and often windy conditions with high temperatures and sandy or stony soils. Dry periods may be prolonged for several years. Vegetation is characterised by very low densities of small drought-tolerant perennial plants known as xerophytes, very slow growing species with adaptations to drought such as extensive root systems and water storage tissues. Some of these plants may acquire much of their moisture from fogs. Ephemeral plants occur in some regions, but are less common than in other desert systems. Microbial biofilms are important decomposers. Drought tolerant reptiles and invertebrates are the main faunal groups, along with occasional nomadic mammals and birds, in simple foodwebs.","https://global-ecosystems.org/explore/groups/T5.5","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P5","Tropical interior desert scrub of Atriplex atacamensis - Tessaria absinthioides","Large salt flats in the Tarapacá (600–900 m) and Antofagasta (2,400–2,500 m) regions, in the ultra-hyperarid mesotropical and hyperarid hyperoceanic bioclimatic zones. | Tall, phreatophilous scrubland dominated by the shrubs Atriplex atacamensis and Tessaria absinthioides and the grass Distichlis spicata. Its presence, associated with salt flats, is determined by the existence of a water table that provides sufficient humidity to compensate for the water deficit caused by the lack of rainfall, despite which it has been considered an independent unit. Occasionally, it is possible to observe the presence of the thorn trees Prosopis alba and Geoffroea decorticans. Because it is edaphically conditioned, it is not possible to recognize zonal and intrazonal communities.",30,"T5.1","Semi-desert steppe","Semi-desert steppes on all continents are dominated by perennial shrubs, often with semi-fleshy or velvety foliage, and tussock grasses interspersed with bare ground. Low variable rainfall and extreme temperatures favour flora and fauna with drought and stress-tolerance adaptations, such as deep roots and nomadism. Growth and reproduction of shrubs and grasses is varies with rainfall, the cover of grass diminishing to near zero in extended droughts. Grass cover also depends on soil fertility and grazing animals, which may also limit shrub recruitment and growth. These steppes are among the most productive of desert ecosystems, with relatively abundant small and large herbivorous and seed-eating mammals supporting bird and mammal predators and scavengers.","https://global-ecosystems.org/explore/groups/T5.1","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P6","Tropical coastal desert scrub of Nolana sedifolia / Eulychnia iquiquensis","Lands practically devoid of vascular plants, where it is only possible to observe enclaves of coastal vegetation in the high mountainous areas near the coast, where there is an incidence of fog, such as in Alto Junín, Punta Madrid and Cerro Camaraca. Regenerative dynamics must be associated with the scarce precipitation events that occur. It has been suggested that in the prolonged absence of such events, the dominant species, especially Cactaceae, tend to disappear, which is reflected in the large number of dead individuals observed. However, there are no known antecedents on the existence of seed banks or the longevity of the species, elements that could interact with sporadic precipitation events and model the dynamics of vegetation at time scales not yet studied.",31,"T5.2","Succulent or Thorny deserts and semi-deserts","Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","https://global-ecosystems.org/explore/groups/T5.2","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P7","Tropical-Mediterranean coastal desert scrub of Ephedra breana / Eulychnia iquiquensis","Coastal hills in the north of the Antofagasta region, between 300 and 1,300 m above sea level in the ultra-hyperarid mesotropical, ultra-hyperarid mesomediterranean and marginally in the ultra-hyperarid hyperoceanic upper thermo-Mediterranean bioclimatic zone. | ​​Extremely xeromorphic open scrubland with columnar succulents, dominated by Ephedra breana, Solanum brachyantherum and Eulychnia iquiquensis, which marks the physiognomy of the vegetation, with the participation of the shrubs Frankenia chilensis, Nolana balsamiflua, N. clivicola, Solanum chilense. Much of the territory of this zone develops in relief conditions that favor the condensation of fog. In the Cerro Moreno - La Chimba area, Heliotropium eremogenum and Lycium leiostemum are important. This last area has a particular species composition, but is floristically related to the vegetation of the Tocopilla area. 

Rainfall occurs in this area every 4 to 7 years. During dry periods, some shrubs and cacti survive thanks to the influence of fog and dry out over the years due to the permanent water shortage. However, herbaceous plants disappear completely. During rainy years, all plants renew their tissues and flower, only to experience a long period of drought again.",31,"T5.2","Succulent or Thorny deserts and semi-deserts","Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","https://global-ecosystems.org/explore/groups/T5.2","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P8","Tropical-Mediterranean coastal desert scrub of Copiapoa boliviana - Heliotropium pycnophyllum","Extremely xeromorphic open scrubland dominated by Heliotropium pycnophyllum and Nolana peruviana, with the presence of Copiapoa boliviana. Vegetation cover is generally very low, but increases slightly during the wettest years due to the emergence of herbaceous plants. There are large areas devoid of vascular plants. There are very few specific records on this vegetation level. There are no precedents, but it is presumed that it must be determined by the very occasional occurrence of winter precipitation.",31,"T5.2","Succulent or Thorny deserts and semi-deserts","Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","https://global-ecosystems.org/explore/groups/T5.2","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P9","Mediterranean coastal desert scrub of Gypothamnium pinifolium - Heliotropium pycnophyllum","Low coastal zone in the north of the Atacama region and south of the Antofagasta region, 0-350 m. The dominant shrub species in this ecosystem and the cacti are xerophytes that are very well adapted to extremely arid conditions, and are therefore able to maintain their vegetative structures during dry years, when herbaceous plants are almost completely absent. In contrast, rainy years show a greater abundance of herbaceous plants and a much greater development of the reproductive structures of shrubs and cacti.",31,"T5.2","Succulent or Thorny deserts and semi-deserts","Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","https://global-ecosystems.org/explore/groups/T5.2","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
"2024/07/30 00:00:00",22,"ubonn_chile_veg_2022","vector","Ecosystems_Chile_2022","CODE","P10","Mediterranean coastal desert scrub of Euphorbia lactiflua / Eulychnia iquiquensis","Middle slopes of the western slope of the coastal hills in the south of the Antofagasta region, 300-1000 m. Very similar to that described for ecosystem 11 (Mediterranean coastal desert scrub of Euphorbia lactiflua / Eulychnia saint-pieana), in which the abundance of herbaceous plants is determined by the intensity of rainfall. However, and as in the rest of the ecosystems identified for the desert, there are no specific studies on the regenerative dynamics of the dominant perennial species.",31,"T5.2","Succulent or Thorny deserts and semi-deserts","Succulent or Thorny deserts and semi-deserts are restricted in their occurrence to parts of the Americas, Africa, Madagascar and south Asia. They have a sparse cover of typical cactus-like plants and other slow-growing spiny and succulent species, on stony low-nutrient soils. Many of these plants store water in their stems and have deep roots. Short-lived plant species emerge after rains from dormant organs or soil seed banks. Plants and animals tolerate extreme summer temperatures and mild winters. Nocturnal and burrowing mammals are able to avoid extreme temperatures. Diverse opportunistic invertebrates and reptiles occur, along with small numbers of large-ranging ungulates.","https://global-ecosystems.org/explore/groups/T5.2","ValueToValue",,"David_Keith","final",,TRUE,"Patricio_Pliscoff",2.1,NA,NA
