"entry_date","Source_ID","data_id_code","data_type","band_layer_name","in_class_field_name","in_class_value","in_class_description","in_class_description_detail","out_class_value","efg_code","efg_name","efg_description","get_link","mapping","EFG_out_membership_proportion","crosswalked_by","status","review_needed","reviewed","review_by","GET_version","Comment","crosswalk_acknowledgement","band_no","band_ID"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","0","Background/water","No further information",0,"0","No Data","No Data",NA,"ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","1","High-Medium Density Urban","No further information",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","2","Low-Medium Density Urban","No further information",49,"T7.4","Urban and industrial ecosystems","Cities, smaller settlements and industrial areas are structurally complex ecosystems and characterised by their highly dynamic spatial structure. Diverse patch types include buildings, paved surfaces, transport infrastructure, parks and gardens; excavations, bare ground and refuse areas. Patches undergo periodic destruction and renewal. Human population density is high, relative to other ecosystems, and dependent on large subsidies of imported resources (particularly water, nutrients and food). Interactions among patch types and human social behaviours produce emergent properties and complex feedbacks among ecosystem components.","https://global-ecosystems.org/explore/groups/T7.4","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","3","Herbaceous Agriculture - Cultivated Lands","No further information",46,"T7.1","Annual croplands","Croplands are intensively managed agricultural ecosystems maintained by supplementation of nutrients and water, sowing and harvesting, soil cultivation and control of non-target plants and animals (weeds and pests). They currently cover 11% of the world’s land surface. Some systems of management include domestic herbivores introduced on harvested stubble or in ‘fallow’ years. These are structurally simple, very low-diversity, high-productivity systems, dominated by one or few non-woody, shallow-rooted annual plant species such as grains (mostly C3 grasses), vegetables, ‘cut flowers’, legumes, or fibre plants harvested annually by humans for commercial or subsistence production of food, materials, or ornamental displays.","https://global-ecosystems.org/explore/groups/T7.1","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","4","Active Sun Coffee and Mixed Woody Agriculture","No further information",48,"T7.3","Plantations","Plantations are generally long-rotation perennial woody crops established and maintained for a variety of food and materials. The harvested products include wood, various fruits, tea, coffee, palm oil and other food additives, materials such as rubber, ornamental materials (cut flowers), etc. The vegetation of most plantations comprises at least two vertical strata (the managed woody species and a ruderal ground layer), although mixed plantings may be more complex and host a relatively diverse flora and fauna if managed to promote habitat features. Fertilisers and water subsidies are applied, and harvesting occurs at intervals depending on the crop.","https://global-ecosystems.org/explore/groups/T7.3","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","5","Pasture, Hay or Inactive Agriculture (e.g. abandoned sugar cane)","No further information",47,"T7.2","Sown pastures and fields","In these intensively managed agricultural systems, grasses and legumes are sown and cultivated, with regular inputs of nutrients and (sometimes) water, primary for the mostly commercial production of livestock or food (hay) for livestock. Sown pastures are structurally simple ecosystems with low-diversity and high-productivity. They are dominated by one or few selected plant species as primary food sources for one animal species (usually large mammalian herbivores). Management includes chemical or physical treatments to exclude competitors, predators, herbivores, or pathogens. They differ from less intensively managed rangeland (e.g. T5) and semi-natural grasslands (T7.5), where livestock graze in predominantly native ecosystems.","https://global-ecosystems.org/explore/groups/T7.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"A fare portion of these lands would qualify as EFG_PixelValue 50, T7.5. In general, they are former sugar cane fields that nonnative grasses, and eventually nonnative woody species, colonize and that are used for grazing. A smaller portion are intensively managed and sown pasture. Fire is often used to control woody vegetation. Native woody species can eventually colonize these areas if fire is limited.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","6","Pasture, Hay or other Grassy Areas (e.g. soccer fields)","No further information",47,"T7.2","Sown pastures and fields","In these intensively managed agricultural systems, grasses and legumes are sown and cultivated, with regular inputs of nutrients and (sometimes) water, primary for the mostly commercial production of livestock or food (hay) for livestock. Sown pastures are structurally simple ecosystems with low-diversity and high-productivity. They are dominated by one or few selected plant species as primary food sources for one animal species (usually large mammalian herbivores). Management includes chemical or physical treatments to exclude competitors, predators, herbivores, or pathogens. They differ from less intensively managed rangeland (e.g. T5) and semi-natural grasslands (T7.5), where livestock graze in predominantly native ecosystems.","https://global-ecosystems.org/explore/groups/T7.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","7","Drought Deciduous Open Woodland","No further information",2,"T1.2","Tropical/Subtropical dry forests and thickets","Tropical-subtropical dry forests and thickets are characterised by fertile substrates and seasonally dry conditions (~1800 mm per year, with a period of 3 to 6 months receiving less than 100 mm per month) that drive markedly seasonal patterns of productivity. Tree-diversity is high, with a variable mixture of evergreen and drought-deciduous trees, with abundant vines, but fewer epiphytes, ferns, mosses, and forbs, limited by seasonal drought. Abundant leaf litter is decomposed by fungi and microbes within complex foodwebs dominated by vertebrates of all kinds.","https://global-ecosystems.org/explore/groups/T1.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"Some of these areas receive as little as 1200 mm annual rainfall (even to 1000 mm). In the Americas, tropical dry forest very often have <1800 mm of annual rainfall; this class also includes very early successional woody vegetation - typically nonnative, in moist (but not wet) areas.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","8","Drought Deciduous Dense Woodland","No further information",2,"T1.2","Tropical/Subtropical dry forests and thickets","Tropical-subtropical dry forests and thickets are characterised by fertile substrates and seasonally dry conditions (~1800 mm per year, with a period of 3 to 6 months receiving less than 100 mm per month) that drive markedly seasonal patterns of productivity. Tree-diversity is high, with a variable mixture of evergreen and drought-deciduous trees, with abundant vines, but fewer epiphytes, ferns, mosses, and forbs, limited by seasonal drought. Abundant leaf litter is decomposed by fungi and microbes within complex foodwebs dominated by vertebrates of all kinds.","https://global-ecosystems.org/explore/groups/T1.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,"Some of these areas receive as little as 1200 mm annual rainfall (even to 1000 mm). In the Americas, tropical dry forest very often have <1800 mm of annual rainfall; this class also includes very early successional woody vegetation - typically nonnative, in moist (but not wet) areas.",NA,"001","0061001"
"2024/08/26 00:00:00",61,"usda_prico_lcov_2023","raster","IITF_GISciRS44_puertorico_landcov2000_cloudfor2class.tif_Band_1","raster code","9","Deciduous, Evergreen Coastal and Mixed Forest or Shrubland, with or without Succulents","No further information",2,"T1.2","Tropical/Subtropical dry forests and thickets","Tropical-subtropical dry forests and thickets are characterised by fertile substrates and seasonally dry conditions (~1800 mm per year, with a period of 3 to 6 months receiving less than 100 mm per month) that drive markedly seasonal patterns of productivity. Tree-diversity is high, with a variable mixture of evergreen and drought-deciduous trees, with abundant vines, but fewer epiphytes, ferns, mosses, and forbs, limited by seasonal drought. Abundant leaf litter is decomposed by fungi and microbes within complex foodwebs dominated by vertebrates of all kinds.","https://global-ecosystems.org/explore/groups/T1.2","ValueToValue",,"Eileen_Helmer","final",,TRUE,"Naema_GrosDubois",2.1,NA,NA,"001","0061001"
