EFG_Code,EFG_Val,Biome_Code,EFG_LongName,EFG_ShortName,update,ShortDesc,KeyFeats,DistributionSum,url
0,0,NA,NA,NA,NA,NA,NA,NA,NA
T1.1,1,T1,T1.1 Tropical/Subtropical lowland rainforests,T1.1 Trop lowland rainforests,2020-01-20T12:00:00Z,"A huge diversity of species occupy niches within a complex vertically-layered structure of plant forms. High productivity is fuelled by rapid-growing plants including buttressed trees, bamboos, epiphytes, lianas and ferns. Forest canopies sustain moist soils and abundant leaf litter decomposed by fungi and bacteria. High diversity of invertebrates at all levels of the forest supports diverse vertebrate life forms, particularly mammals and birds, which play critical roles in plant dispersal and pollination. Conditions near the equator are stable and humid year-round (up to 6000 mm rain per annum), but become more seasonal with mild winter frosts in the subtropics.","Tall closed-canopy evergreen forests in warm wet climates, phylogenetically & functionally highly diverse life forms",Global wet tropics & subtropics,https://global-ecosystems.org/explore/groups/T1.1
T1.2,2,T1,T1.2 Tropical/Subtropical dry forests and thickets,T1.2 Trop dry forests,2020-12-16T16:04:50Z,"Tropical-subtropical dry forests and thickets are characterised by fertile substrates and seasonally dry conditions (~1800 mm per year, with a period of 3 to 6 months receiving less than 100 mm per month) that drive markedly seasonal patterns of productivity. Tree-diversity is high, with a variable mixture of evergreen and drought-deciduous trees, with abundant vines, but fewer epiphytes, ferns, mosses, and forbs, limited by seasonal drought. Abundant leaf litter is decomposed by fungi and microbes within complex foodwebs dominated by vertebrates of all kinds.","Closed-canopy deciduous and semi-deciduous forests in warm seasonally wet/dry climates, diverse life forms",Global wet/dry tropics & subtropics,https://global-ecosystems.org/explore/groups/T1.2
T1.3,3,T1,T1.3 Tropical/Subtropical montane rainforests,T1.3 Trop montane rainforests,2020-01-20T12:00:00Z,"These mountain rainforests are characterised by a single-layered tree canopy, with epiphytic ferns, bryophytes, lichens, orchids, and bromeliads draping tree branches. Grasses are rare or absent. At high altitude forest structure becomes less complex, with dwarf tree forms. Although rainfall is abundant (up to 6000 mm per year), productivity is limited by cool temperatures, wind exposure and shallow soils, although under the canopy a moist shady microclimate provides stable habitat for a frog, bird, plant and invertebrate species that are found nowhere else.","Closed-canopy evergreen forests with abundant non-vascular epiphytes in warm/cool wet cloudy climates, diverse life forms",Global tropical & subtropical mountains,https://global-ecosystems.org/explore/groups/T1.3
T1.4,4,T1,T1.4 Tropical heath forests,T1.4 Trop heath forests,2020-01-20T12:00:00Z,"These structurally unique forests are restricted to less fertile soils on acidic sandy substrates best known in Amazonia and Southeast Asia. They are characterised by high densities of low, slender trees that allow light penetration to an open forest floor covered with mosses. They have low productivity compared to other tropical forests, with a limited diversity of plants and animals forming a simple foodweb, including amphibians and reptiles.","Low closed-canopy evergreen forests in warm wet climates on low-nutrient substrates, structurally simple cf T1","Amazon basin, southeast Asia, possibly Congo basin",https://global-ecosystems.org/explore/groups/T1.4
T2.1,7,T2,T2.1 Boreal and temperate high montane forests and woodlands,T2.1 Boreal/montane forests,2020-09-04T12:48:54Z,"In boreal and mountainous cold, seasonally snow-prone climates, acid soils support structurally simple forests made up of needle-leaf conifer trees, sometimes with broad-leaf deciduous trees. Large forest trees provide habitat for fungi, mosses and liverworts. Seasonal understorey growth sustains high densities of herbivores such as bear, deer, and a variety of insects, with predators such as lynx, wolves and raptors. Plants and animals survive cold winters through freeze-tolerant organs, hibernation or migratory movements.","Closed to open, evergreen (conifers) or deciduous forests in cold climates with short growth periods, low vascular plant species diversity, but abundant cryptogams","Cool regions (boreal zone or mountains in temperate or mediterranean regions) of the Northern Hemisphere, limited occurrences in southern South America",https://global-ecosystems.org/explore/groups/T2.1
T2.2,8,T2,T2.2 Deciduous temperate forests,T2.2 Deciduous temperate forests,2020-01-20T12:00:00Z,"At cool temperate latitudes in the Northern hemisphere, fertile soils and high precipitation support forests dominated by broadleaf deciduous trees, although evergreen needleleaf trees may account for up to one-third of the canopy. Cold snow-prone winters punctuate a limited but highly productive growing season. Fungi and bacteria play vital roles in decomposition of the seasonal leaf fall on the forest floor, with insects and browsing herbivores important in carbon and nutrient cycling. Herbivores such as deer and hares are prey to feline, canine and avian predators. Winter dormancy, hibernation and migration are key strategies enabling survival of plants and animals.","Closed canopy broadleaved forests in seasonally warm and cold humid climates, with low to moderate woody species diversity","Temperate regions of the Northern Hemisphere, limited occurrences in southern South America",https://global-ecosystems.org/explore/groups/T2.2
T2.3,9,T2,T2.3 Oceanic cool temperate rainforests,T2.3 Oceanic temp rainforests,2020-05-31T20:44:11Z,"Oceanic cool temperate rainforests have evergreen or semi-deciduous, small-leaved trees, with conifers in some regions. These forests occupy a cooler, wetter climate than warm temperate forests (T2.4), but ocean influence promotes very high precipitation and limits persistence of winter snow (compared with T2.1 or T2.2). Tree diversity is low, but abundant epiphytic and terrestrial mosses and liverworts, ferns, lichens, and conspicuous fungi contribute to seasonal productivity. Foodwebs are simple, with low vertebrate diversity and fewer large herbivores and predators than T2.1 and T2.2, but with many species found nowhere else.","Closed canopy evergreen or semi-deciduous forests in cool wet climates, high endemism with low tree diversity and abundant epiphytes","Cool temperate coasts of Chile, Patagonia, New Zealand, Tasmania and Pacific Northwest",https://global-ecosystems.org/explore/groups/T2.3
T2.4,10,T2,T2.4 Warm temperate laurophyll forests,T2.4 Warm temp rainforests,2020-05-31T20:52:36Z,"With a patchy warm-temperate distribution, laurophyll forests are extensive in some regions, but more typically occupy topographic refugia in a matrix of drier, more fire-prone ecosystems. They have glossy- or leathery-leaved dense evergreen canopies, with moderate tree diversity. A mild climate, and more acid soils, distinguish them from oceanic cool temperate forests (T2.3). Primary productivity is high, but can be limited by mild summer drought. Decomposers such as invertebrates, fungi, and microbes on the forest floor are critical to nutrient cycling. Insects are the major consumers of primary production and a major food source for birds and bats, which can be important seed-dispersers and pollinators. Vertebrate herbivores are relatively uncommon.","Simple, closed-canopy mostly evergreen forests in warm environments with modest summer rainfall deficits; moderate diversity and endemism","Patchy warm temperate-subtropical distribution at 26–43° latitude, north or south of the Equator",https://global-ecosystems.org/explore/groups/T2.4
T2.5,11,T2,T2.5 Temperate pyric humid forests,T2.5 Temp pyric humid forests,2020-01-20T12:00:00Z,"Forests with the tallest flowering trees on earth are complex in structure, with an open canopy of sclerophyll trees 40-90m tall allowing light to filter through to multiple understorey layers and a ground flora of ferns, grasses and mosses. The complex forest structure sustains a high diversity of birds, reptiles mammals, and canopy invertebrates, as well as a moist microclimate and deep, moist leaf litter on the forest floor that supports a diversity of soil invertebrates, fungi, and other microbes. These highly productive, fast-growing forests are notable carbon sinks, but extreme droughts make them prone to the most ferocious forest fires on earth at century-scale intervals. Seedbanks are crucial to the forest persisting after fire.","Tall, moist and complex multi-layered forests in wet-temperate climates; characterised by sclerophyll dominant trees and diverse mesophyll understorey; population processes driven by fire regimes",Subtropical - temperate southeast and temperate southwest Australia,https://global-ecosystems.org/explore/groups/T2.5
